"ID","STRASSE","ORTSTEIL","PLZ","VORWAHL"
2,Kuckucksweg,Amshausen,33803,5204
3,Am Sportplatz,Amshausen,33803,5204
4,Hasenheide,Amshausen,33803,5204
5,Kalkwerk,Amshausen,33803,5204
6,Zeisigweg,Amshausen,33803,5204
7,Bahnhofstr.,Amshausen,33803,5204
8,Fasanenweg,Amshausen,33803,5204
9,Schnatweg,Amshausen,33803,5204
10,Meisenstr.,Amshausen,33803,5204
11,Spechtstr.,Amshausen,33803,5204
12,Kiebitzstr.,Amshausen,33803,5204
13,Buchenweg,Amshausen,33803,5204
14,Amselstr.,Amshausen,33803,5204
15,Quellweg,Amshausen,33803,5204
16,Brilskamp,Amshausen,33803,5204
17,Eichenstr.,Amshausen,33803,5204
18,Feldweg,Amshausen,33803,5204
19,Sörenbrink,Amshausen,33803,5204
20,Kiefernweg,Amshausen,33803,5204
21,Buchfinkenstr.,Amshausen,33803,5204
22,Tiefer Weg,Amshausen,33803,5204
23,Alte Landwehr,Amshausen,33803,5204
24,Petersberg,Amshausen,33803,5204
25,Auf dem Kampe,Amshausen,33803,5204
26,Rügener Str.,Amshausen,33803,5204
27,Starenweg,Amshausen,33803,5204
28,Tiergarten,Amshausen,33803,5204
29,Alter Garten,Amshausen,33803,5204
30,Landwehrs Brede,Amshausen,33803,5204
31,Ringstr.,Amshausen,33803,5204
32,Am Bußberg,Amshausen,33803,5204
33,Schlingenweg,Amshausen,33803,5204
34,Finkenstr.,Amshausen,33803,5204
35,Birkenweg,Amshausen,33803,5204
36,Kaistr.,Amshausen,33803,5204
37,Upheider Weg,Amshausen,33803,5204
38,In der Howe,Amshausen,33803,5204
39,Drosselweg,Amshausen,33803,5204
40,Jückemöllers Hof,Amshausen,33803,5204
41,Niedernkamp,Amshausen,33803,5204
42,Elsterstr.,Amshausen,33803,5204
43,Fliederstr.,Amshausen,33803,5204
44,Amshausener Str.,Amshausen,33803,5204
45,Schwalbenweg,Amshausen,33803,5204
46,Stralsunder Str.,Amshausen,33803,5204
47,Haferbrede,Amshausen,33803,5204
48,Bussardstr.,Amshausen,33803,5204
49,Haller Str.,Amshausen,33803,5204
50,Jückemöhlenweg,Amshausen,33803,5204
51,Roggenkamp,Amshausen,33803,5204
52,Schuhkamp,Amshausen,33803,5204
53,Adlerstr.,Amshausen,33803,5204
54,Butterweg,Amshausen,33803,5204
55,Am Langenberg,Amshausen,33803,5204
56,Lindenstr.,Amshausen,33803,5204
57,Lärchenstr.,Amshausen,33803,5204
58,Erlenstr.,Amshausen,33803,5204
59,Am Foddenbach,Amshausen,33803,5204
60,Forellenweg,Amshausen,33803,5204
61,An der Jöpke,Amshausen,33803,5204
62,Kastanienstr.,Amshausen,33803,5204
63,Swinemünder Str.,Amshausen,33803,5204
64,Taubenweg,Amshausen,33803,5204
65,Lohbrede,Amshausen,33803,5204
66,Wolliner Str.,Amshausen,33803,5204
67,Falkenstr.,Amshausen,33803,5204
68,Am Jakobsberg,Amshausen,33803,5204
69,Bergstr.,Amshausen,33803,5204
70,Sechtenbrink,Amshausen,33803,5204
71,Ascheloher Weg,Amshausen,33803,5204
72,"Deterts Heide",Amshausen,33803,5204
73,Uhlandstr.,Brockhagen,33803,5204
74,Arnsbergstr.,Brockhagen,33803,5204
75,Riegestr.,Brockhagen,33803,5204
76,Eichendorffstr.,Brockhagen,33803,5204
77,Mönchsweg,Brockhagen,33803,5204
78,Patthorster Str.,Brockhagen,33803,5204
79,Am Kottenteich,Brockhagen,33803,5204
80,Freiligrathstr.,Brockhagen,33803,5204
81,Auf dem Hofe,Brockhagen,33803,5204
82,Wallbrink,Brockhagen,33803,5204
83,Ebbesloher Str.,Brockhagen,33803,5204
84,Ellerbrok,Brockhagen,33803,5204
85,Lessingstr.,Brockhagen,33803,5204
86,Abrookstr.,Brockhagen,33803,5204
87,Baumkamp,Brockhagen,33803,5204
